,location,total_sqft,bath,price,bhk
26,Electronic City,660.0,1.0,23.1,2
101,Chandapura,650.0,1.0,17.0,2
132,Electronic City,880.0,1.0,16.5,2
179,Electronic City,770.0,1.0,36.0,2
250,Chandapura,800.0,1.0,20.0,2
255,Horamavu Agara,1200.0,2.0,95.0,4
268,Other,700.0,1.0,26.0,2
382,Anekal,1200.0,1.0,36.0,2
406,Bannerghatta Road,1200.0,2.0,125.0,4
438,Dasanapura,708.0,1.0,40.0,2
555,Other,1800.0,1.0,80.0,2
630,Hegde Nagar,1050.0,1.0,56.0,2
929,Konanakunte,884.0,1.0,58.0,2
958,Koramangala,1005.0,1.0,110.0,2
962,Other,1300.0,1.0,115.0,2
1381,Chandapura,850.0,1.0,18.5,2
1451,Kanakpura Road,900.0,1.0,45.0,2
1809,Chikkalasandra,1800.0,1.0,128.0,2
1812,Sarjapur,1550.0,2.0,65.0,4
1813,Electronic City,770.0,1.0,40.0,2
1831,Chamrajpet,1900.0,2.0,170.0,4
1867,TC Palaya,2100.0,2.0,50.0,4
1946,Varthur,1320.0,2.0,110.0,4
1985,Magadi Road,1500.0,2.0,93.0,4
1990,Jalahalli,1400.0,1.0,80.0,2
2006,Seegehalli,800.0,1.0,50.0,2
2062,Magadi Road,1350.0,1.0,100.0,2
2241,Other,1000.0,1.0,55.0,2
2336,Other,860.0,1.0,43.0,2
2416,Anekal,1200.0,1.0,36.0,2
2664,Other,955.0,1.0,34.01,2
2779,Margondanahalli,1200.0,1.0,53.0,2
2899,Other,674.0,1.0,19.9,2
2905,Kanakpura Road,700.0,1.0,35.0,2
2906,Other,1463.0,1.0,142.0,2
2943,Anandapura,1475.0,2.0,50.0,4
2953,Sanjay nagar,630.0,1.0,35.0,2
2962,Bisuvanahalli,850.0,1.0,32.0,2
3001,Electronic City,755.0,1.0,34.0,2
3102,Chandapura,630.0,1.0,27.0,2
3482,Other,1500.0,1.0,160.0,2
3627,Other,620.0,1.0,25.0,2
3752,Marathahalli,1325.0,1.0,92.0,2
4068,Other,1512.0,1.0,65.01,2
4213,Kengeri Satellite Town,635.0,1.0,22.0,2
4315,Chandapura,1200.0,1.0,36.0,2
4659,Margondanahalli,1360.0,2.0,45.0,4
4743,Electronic City,660.0,1.0,18.0,2
4786,Electronic City,660.0,1.0,15.0,2
4787,Chandapura,700.0,1.0,19.0,2
4843,Bhoganhalli,2072.5,2.0,111.0,4
5016,Anekal,700.0,1.0,19.4,2
5059,Electronic City,660.0,1.0,16.0,2
5069,Other,1000.0,1.0,75.0,2
5130,Shampura,700.0,1.0,35.0,2
5147,Konanakunte,1200.0,2.0,130.0,4
5406,Uttarahalli,1100.0,1.0,45.0,2
5426,Kaggadasapura,1180.0,1.0,50.0,2
5435,Kammasandra,1030.0,1.0,25.75,2
5498,Chandapura,1891.0,2.0,66.165,4
5632,Anekal,1200.0,1.0,36.0,2
5652,JP Nagar,1100.0,1.0,15.0,2
5698,Attibele,695.0,1.0,25.0,2
5704,Attibele,850.0,1.0,25.0,2
5720,Kaikondrahalli,674.0,1.0,19.9,2
5739,Other,1200.0,1.0,65.0,2
5795,Bisuvanahalli,700.0,1.0,32.0,2
5869,Thanisandra,1250.0,1.0,54.0,2
5884,Other,1800.0,3.0,105.0,6
5892,Other,708.0,1.0,55.0,2
5996,Other,600.0,1.0,52.0,2
6053,Electronic City,660.0,1.0,15.5,2
6144,Magadi Road,600.0,1.0,22.0,2
6173,Bommanahalli,1100.0,1.0,55.0,2
6272,Other,1200.0,1.0,95.0,2
6329,Chikkabanavar,600.0,1.0,25.0,2
6336,KR Puram,1200.0,1.0,65.0,2
6444,Other,1290.0,1.0,77.5,2
6447,Anekal,1200.0,2.0,36.0,4
6500,Other,900.0,1.0,44.0,2
6812,Yelachenahalli,800.0,1.0,30.0,2
6907,Other,1200.0,1.0,54.0,2
6916,Padmanabhanagar,1000.0,1.0,90.0,2
7028,Other,675.0,1.0,15.0,2
7323,Other,2000.0,2.0,160.0,4
7410,Bommasandra,800.0,1.0,32.0,2
7436,Marathahalli,1200.0,1.0,103.0,2
7526,Chandapura,674.0,1.0,19.9,2
7629,Attibele,995.0,1.0,24.88,2
7644,Electronic City,770.0,1.0,39.9,2
7676,Attibele,900.0,1.0,25.0,2
7757,Other,850.0,1.0,35.5,2
7833,Hulimavu,850.0,1.0,39.5,2
7994,Jakkur,850.0,1.0,19.9,2
8060,Other,650.0,1.0,20.0,2
8091,Electronic City,1025.0,1.0,26.63,2
8166,Anekal,620.0,1.0,23.5,2
8265,Other,900.0,1.0,70.0,2
8315,Other,1850.0,3.0,175.0,6
8341,Kammanahalli,1200.0,1.0,81.0,2
8532,Kumaraswami Layout,800.0,1.0,90.0,2
8622,Yeshwanthpur,770.0,1.0,70.0,2
8653,Doddaballapur,640.0,1.0,10.5,2
8777,Kenchenahalli,870.0,1.0,45.0,2
8991,Chamrajpet,730.0,1.0,52.0,2
9008,Electronic City,770.0,1.0,35.0,2
9048,Anekal,1200.0,1.0,36.0,2
9061,Anekal,1200.0,1.0,36.0,2
9066,Other,800.0,1.0,29.0,2
9230,Other,1840.0,1.0,95.0,2
9247,Banashankari,600.0,1.0,27.0,2
9270,Kanakpura Road,700.0,1.0,41.0,2
9388,Anekal,1200.0,1.0,36.0,2
9721,Kodigehalli,635.0,1.0,28.0,2
9723,JP Nagar,1500.0,2.0,87.0,4
9827,Chandapura,750.0,1.0,18.5,2
9835,Other,2200.0,2.0,150.0,4
9891,Margondanahalli,1152.0,1.0,66.0,2
9917,Anekal,1200.0,1.0,36.0,2
9978,Other,1200.0,1.0,70.0,2
10000,Other,1245.0,1.0,60.0,2
10058,Malleshwaram,600.0,1.0,68.0,2
10196,Abbigere,795.0,1.0,32.6,2
10273,Dommasandra,674.0,1.0,19.9,2
10436,Electronic City,660.0,1.0,16.5,2
10437,Kengeri,633.0,1.0,18.0,2
10656,Chamrajpet,650.0,1.0,40.0,2
10755,Electronic City,770.0,1.0,38.0,2
10797,Electronic City,660.0,1.0,23.0,2
10868,Subramanyapura,929.0,1.0,51.0,2
10937,Other,2100.0,1.0,200.0,2
10950,Anekal,680.0,1.0,21.0,2
11018,Other,1200.0,1.0,42.0,2
11071,Other,1650.0,2.0,140.0,4
11074,Yelahanka New Town,860.0,1.0,31.0,2
11116,Varthur,674.0,1.0,19.9,2
11277,Other,1200.0,2.0,35.0,4
11379,Chandapura,800.0,1.0,30.0,2
11517,Other,880.0,1.0,90.0,2
11529,Haralur Road,1027.0,1.0,44.0,2
11551,Electronic City,660.0,1.0,18.0,2
11750,Other,1200.0,2.0,75.0,4
11934,Anekal,614.0,1.0,28.0,2
12064,Uttarahalli,1125.0,1.0,45.0,2
12076,Other,800.0,1.0,45.0,2
12226,Varthur,1000.0,1.0,65.0,2
12257,Other,930.0,1.0,55.0,2
12372,Uttarahalli,1165.0,1.0,42.09,2
12386,Other,1200.0,1.0,50.0,2
12849,Chandapura,740.0,1.0,22.0,2
12998,Anekal,625.0,1.0,25.0,2
13000,Other,1350.0,1.0,120.0,3
13136,Chikkalasandra,1425.0,1.0,54.0,3
13183,Shivaji Nagar,600.0,1.0,65.0,2
13199,Other,1650.0,1.0,130.0,2
